A2M	HALLMARK_IL6_JAK_STAT3_SIGNALING, HALLMARK_COAGULATION
AAAS	HALLMARK_DNA_REPAIR
AADAT	HALLMARK_FATTY_ACID_METABOLISM
AARS1	HALLMARK_ALLOGRAFT_REJECTION
ABAT	HALLMARK_ESTROGEN_RESPONSE_EARLY, HALLMARK_P53_PATHWAY
ABCA1	HALLMARK_TNFA_SIGNALING_VIA_NFKB, HALLMARK_ADIPOGENESIS, HALLMARK_PROTEIN_SECRETION, HALLMARK_INFLAMMATORY_RESPONSE, HALLMARK_BILE_ACID_METABOLISM
ABCA2	HALLMARK_CHOLESTEROL_HOMEOSTASIS, HALLMARK_BILE_ACID_METABOLISM
ABCA3	HALLMARK_ESTROGEN_RESPONSE_EARLY, HALLMARK_ESTROGEN_RESPONSE_LATE, HALLMARK_BILE_ACID_METABOLISM
ABCA4	HALLMARK_BILE_ACID_METABOLISM
ABCA5	HALLMARK_BILE_ACID_METABOLISM
ABCA6	HALLMARK_BILE_ACID_METABOLISM
ABCA8	HALLMARK_BILE_ACID_METABOLISM
ABCA9	HALLMARK_BILE_ACID_METABOLISM
ABCB1	HALLMARK_UV_RESPONSE_UP, HALLMARK_IL2_STAT5_SIGNALING, HALLMARK_PEROXISOME, HALLMARK_KRAS_SIGNALING_UP
ABCB11	HALLMARK_KRAS_SIGNALING_DN
ABCB4	HALLMARK_PEROXISOME
ABCB6	HALLMARK_GLYCOLYSIS, HALLMARK_HEME_METABOLISM
ABCB7	HALLMARK_OXIDATIVE_PHOSPHORYLATION
ABCB8	HALLMARK_ADIPOGENESIS
ABCB9	HALLMARK_PEROXISOME
ABCC1	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY, HALLMARK_UV_RESPONSE_DN
ABCC2	HALLMARK_XENOBIOTIC_METABOLISM
ABCC3	HALLMARK_XENOBIOTIC_METABOLISM
ABCC4	HALLMARK_ANDROGEN_RESPONSE
ABCC5	HALLMARK_P53_PATHWAY, HALLMARK_PEROXISOME
ABCC8	HALLMARK_PEROXISOME, HALLMARK_PANCREAS_BETA_CELLS
ABCD1	HALLMARK_BILE_ACID_METABOLISM, HALLMARK_PEROXISOME
ABCD2	HALLMARK_XENOBIOTIC_METABOLISM, HALLMARK_BILE_ACID_METABOLISM, HALLMARK_PEROXISOME
ABCD3	HALLMARK_BILE_ACID_METABOLISM, HALLMARK_PEROXISOME
ABCE1	HALLMARK_MYC_TARGETS_V1, HALLMARK_ALLOGRAFT_REJECTION
ABCF2	HALLMARK_MTORC1_SIGNALING
ABCG2	HALLMARK_HEME_METABOLISM
ABCG4	HALLMARK_BILE_ACID_METABOLISM, HALLMARK_KRAS_SIGNALING_DN
ABCG8	HALLMARK_BILE_ACID_METABOLISM
ABHD2	HALLMARK_ESTROGEN_RESPONSE_EARLY, HALLMARK_ESTROGEN_RESPONSE_LATE, HALLMARK_ANDROGEN_RESPONSE
ABHD4	HALLMARK_P53_PATHWAY
ABHD6	HALLMARK_XENOBIOTIC_METABOLISM
ABI1	HALLMARK_MITOTIC_SPINDLE, HALLMARK_INFLAMMATORY_RESPONSE, HALLMARK_ALLOGRAFT_REJECTION
ABI3BP	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
ABL1	HALLMARK_MITOTIC_SPINDLE, HALLMARK_G2M_CHECKPOINT
ABLIM1	HALLMARK_ESTROGEN_RESPONSE_EARLY, HALLMARK_MYOGENESIS
ABR	HALLMARK_MITOTIC_SPINDLE
AC004086.1	HALLMARK_MYC_TARGETS_V1
AC004551.1	HALLMARK_INTERFERON_ALPHA_RESPONSE
AC005840.1	HALLMARK_IL6_JAK_STAT3_SIGNALING
AC010618.1	HALLMARK_GLYCOLYSIS, HALLMARK_HEME_METABOLISM
AC016586.1	HALLMARK_COMPLEMENT
AC027237.1	HALLMARK_MITOTIC_SPINDLE, HALLMARK_G2M_CHECKPOINT
AC074143.1	HALLMARK_GLYCOLYSIS
AC091021.1	HALLMARK_G2M_CHECKPOINT
AC092338.1	HALLMARK_HEME_METABOLISM
AC092881.1	HALLMARK_UNFOLDED_PROTEIN_RESPONSE
AC124319.1	HALLMARK_INTERFERON_GAMMA_RESPONSE
AC129492.1	HALLMARK_TNFA_SIGNALING_VIA_NFKB
AC139530.1	HALLMARK_DNA_REPAIR
ACAA1	HALLMARK_FATTY_ACID_METABOLISM, HALLMARK_OXIDATIVE_PHOSPHORYLATION, HALLMARK_UV_RESPONSE_UP, HALLMARK_PEROXISOME
ACAA2	HALLMARK_ADIPOGENESIS, HALLMARK_FATTY_ACID_METABOLISM, HALLMARK_OXIDATIVE_PHOSPHORYLATION
ACACA	HALLMARK_PI3K_AKT_MTOR_SIGNALING, HALLMARK_MTORC1_SIGNALING
ACADL	HALLMARK_ADIPOGENESIS, HALLMARK_FATTY_ACID_METABOLISM
ACADM	HALLMARK_ADIPOGENESIS, HALLMARK_FATTY_ACID_METABOLISM, HALLMARK_OXIDATIVE_PHOSPHORYLATION
ACADS	HALLMARK_ADIPOGENESIS, HALLMARK_FATTY_ACID_METABOLISM
ACADSB	HALLMARK_OXIDATIVE_PHOSPHORYLATION
ACADVL	HALLMARK_FATTY_ACID_METABOLISM, HALLMARK_OXIDATIVE_PHOSPHORYLATION
ACAT1	HALLMARK_OXIDATIVE_PHOSPHORYLATION
ACAT2	HALLMARK_CHOLESTEROL_HOMEOSTASIS, HALLMARK_FATTY_ACID_METABOLISM
ACE	HALLMARK_SPERMATOGENESIS, HALLMARK_KRAS_SIGNALING_UP
ACHE	HALLMARK_MYOGENESIS, HALLMARK_HEDGEHOG_SIGNALING, HALLMARK_ALLOGRAFT_REJECTION
ACKR1	HALLMARK_HEME_METABOLISM
ACKR3	HALLMARK_TNFA_SIGNALING_VIA_NFKB, HALLMARK_HYPOXIA
ACLY	HALLMARK_ADIPOGENESIS, HALLMARK_MTORC1_SIGNALING
ACO2	HALLMARK_ADIPOGENESIS, HALLMARK_XENOBIOTIC_METABOLISM, HALLMARK_FATTY_ACID_METABOLISM, HALLMARK_OXIDATIVE_PHOSPHORYLATION
ACOT2	HALLMARK_FATTY_ACID_METABOLISM
ACOT8	HALLMARK_FATTY_ACID_METABOLISM, HALLMARK_PEROXISOME
ACOX1	HALLMARK_ADIPOGENESIS, HALLMARK_XENOBIOTIC_METABOLISM, HALLMARK_FATTY_ACID_METABOLISM, HALLMARK_PEROXISOME
ACOX2	HALLMARK_ESTROGEN_RESPONSE_LATE, HALLMARK_XENOBIOTIC_METABOLISM, HALLMARK_COAGULATION
ACOX3	HALLMARK_XENOBIOTIC_METABOLISM
ACP1	HALLMARK_MYC_TARGETS_V1, HALLMARK_XENOBIOTIC_METABOLISM
ACP2	HALLMARK_XENOBIOTIC_METABOLISM
ACP5	HALLMARK_HEME_METABOLISM
ACRBP	HALLMARK_SPERMATOGENESIS
ACRV1	HALLMARK_SPERMATOGENESIS
ACSL1	HALLMARK_MYOGENESIS, HALLMARK_FATTY_ACID_METABOLISM, HALLMARK_BILE_ACID_METABOLISM, HALLMARK_PEROXISOME
ACSL3	HALLMARK_ANDROGEN_RESPONSE, HALLMARK_MTORC1_SIGNALING
ACSL4	HALLMARK_FATTY_ACID_METABOLISM, HALLMARK_PEROXISOME
ACSL5	HALLMARK_FATTY_ACID_METABOLISM, HALLMARK_BILE_ACID_METABOLISM, HALLMARK_PEROXISOME
ACSL6	HALLMARK_HEME_METABOLISM
ACSM1	HALLMARK_XENOBIOTIC_METABOLISM
ACSM3	HALLMARK_FATTY_ACID_METABOLISM
ACSS1	HALLMARK_FATTY_ACID_METABOLISM
ACSS2	HALLMARK_CHOLESTEROL_HOMEOSTASIS
ACTA1	HALLMARK_MYOGENESIS, HALLMARK_APICAL_JUNCTION
ACTA2	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
ACTB	HALLMARK_APICAL_JUNCTION
ACTC1	HALLMARK_MYOGENESIS, HALLMARK_APICAL_JUNCTION, HALLMARK_KRAS_SIGNALING_DN
ACTG1	HALLMARK_CHOLESTEROL_HOMEOSTASIS, HALLMARK_APICAL_JUNCTION
ACTG2	HALLMARK_APICAL_JUNCTION
ACTL7B	HALLMARK_SPERMATOGENESIS
ACTN1	HALLMARK_ANDROGEN_RESPONSE, HALLMARK_APICAL_JUNCTION
ACTN2	HALLMARK_MYOGENESIS, HALLMARK_APICAL_JUNCTION, HALLMARK_COMPLEMENT
ACTN3	HALLMARK_MYOGENESIS, HALLMARK_APICAL_JUNCTION
ACTN4	HALLMARK_MITOTIC_SPINDLE, HALLMARK_APICAL_JUNCTION
ACTR2	HALLMARK_PI3K_AKT_MTOR_SIGNALING, HALLMARK_MTORC1_SIGNALING
ACTR3	HALLMARK_PI3K_AKT_MTOR_SIGNALING, HALLMARK_MTORC1_SIGNALING
ACVR1	HALLMARK_TGF_BETA_SIGNALING
ACVR1B	HALLMARK_IL6_JAK_STAT3_SIGNALING, HALLMARK_INFLAMMATORY_RESPONSE, HALLMARK_P53_PATHWAY
ACVR2A	HALLMARK_INFLAMMATORY_RESPONSE, HALLMARK_UV_RESPONSE_DN, HALLMARK_ALLOGRAFT_REJECTION
ACVRL1	HALLMARK_IL6_JAK_STAT3_SIGNALING
ADA	HALLMARK_DNA_REPAIR, HALLMARK_P53_PATHWAY
ADAD1	HALLMARK_SPERMATOGENESIS
ADAM10	HALLMARK_PROTEIN_SECRETION, HALLMARK_APICAL_SURFACE
ADAM12	HALLMARK_MYOGENESIS, HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION
ADAM15	HALLMARK_APICAL_JUNCTION
ADAM17	HALLMARK_WNT_BETA_CATENIN_SIGNALING, HALLMARK_KRAS_SIGNALING_UP
ADAM19	HALLMARK_IL2_STAT5_SIGNALING
ADAM2	HALLMARK_SPERMATOGENESIS
ADAM23	HALLMARK_APICAL_JUNCTION
ADAM8	HALLMARK_KRAS_SIGNALING_UP
ADAM9	HALLMARK_APICAL_JUNCTION, HALLMARK_COMPLEMENT, HALLMARK_COAGULATION
ADAMDEC1	HALLMARK_KRAS_SIGNALING_UP
ADAMTS1	HALLMARK_ANDROGEN_RESPONSE
ADAMTS5	HALLMARK_APICAL_JUNCTION
